id,brandid,istestaccount,username,lockoutenddate,currencyid,languageid,status,blacklisted,isdeleted,islocked,isdormant,blockeddepositenddate,blockedwithdrawalsenddate,verificationvector,playerexcludedstatus,firstname,middlename,lastname,birthdate,risks,gender,promocode,sendsms,sendmail,sportstatusid,updateddate,createddate,creationtime,playerrgsid
21,4,False,user_21,,AMD,hy,5,False,False,False,True,,,49,0,First21,Middle21,Last21,2007-08-17,10,1,PROMO21,0,0,3,2025-06-12 19:42:00.871028,2025-06-09 19:42:00.871029,2024-04-01 19:42:00.871031,90
22,5,False,user_22,,USD,en,1,True,True,False,True,,,242,0,First22,Middle22,Last22,2003-11-01,7,1,PROMO22,1,1,1,2025-06-12 19:42:00.871045,2023-08-25 19:42:00.871045,2023-12-03 19:42:00.871047,397
23,3,False,user_23,,EUR,ru,2,False,True,False,False,,,238,2,First23,Middle23,Last23,2000-02-24,5,0,PROMO23,0,0,1,2025-06-12 19:42:00.871061,2023-07-29 19:42:00.871062,2024-06-25 19:42:00.871063,828
24,9,False,user_24,,AMD,en,5,True,False,False,False,,,120,3,First24,Middle24,Last24,2003-05-29,2,1,PROMO24,0,0,1,2025-06-12 19:42:00.871081,2022-10-14 19:42:00.871082,2023-04-29 19:42:00.871086,460
25,3,True,user_25,,USD,en,2,True,False,True,False,,,103,5,First25,Middle25,Last25,1996-08-19,10,1,PROMO25,1,0,1,2025-06-12 19:42:00.871103,2024-05-11 19:42:00.871104,2023-11-21 19:42:00.871106,407
26,9,False,user_26,,EUR,hy,4,True,False,True,False,,,76,1,First26,Middle26,Last26,2015-06-02,10,0,PROMO26,0,0,3,2025-06-12 19:42:00.871121,2023-01-06 19:42:00.871122,2023-12-12 19:42:00.871123,902
27,6,False,user_27,,EUR,ru,4,False,True,True,False,,,206,1,First27,Middle27,Last27,2017-04-21,7,0,PROMO27,1,1,2,2025-06-12 19:42:00.871138,2025-04-23 19:42:00.871139,2023-05-11 19:42:00.871140,487
28,5,False,user_28,,USD,ru,3,False,False,False,True,,,116,1,First28,Middle28,Last28,2003-06-25,8,1,PROMO28,1,1,5,2025-06-12 19:42:00.871154,2023-08-21 19:42:00.871155,2025-03-13 19:42:00.871156,193
29,8,True,user_29,,EUR,hy,4,False,True,True,True,,,159,5,First29,Middle29,Last29,2012-09-25,7,0,PROMO29,0,0,2,2025-06-12 19:42:00.871170,2022-12-29 19:42:00.871171,2023-02-11 19:42:00.871172,206
30,1,True,user_30,,USD,ru,1,False,True,False,False,,,237,4,First30,Middle30,Last30,2007-10-22,2,0,PROMO30,0,1,4,2025-06-12 19:42:00.871189,2023-10-13 19:42:00.871190,2024-03-13 19:42:00.871192,182
31,8,False,user_31,,EUR,en,3,True,False,True,False,,,25,1,First31,Middle31,Last31,2015-09-02,4,0,PROMO31,0,0,3,2025-06-12 19:42:00.871206,2023-08-15 19:42:00.871207,2024-04-19 19:42:00.871208,526
32,1,True,user_32,,EUR,en,2,True,True,False,False,,,140,3,First32,Middle32,Last32,2006-11-21,6,1,PROMO32,1,0,4,2025-06-12 19:42:00.871223,2024-08-07 19:42:00.871223,2023-07-20 19:42:00.871225,534
33,10,False,user_33,,AMD,en,1,False,False,False,True,,,246,0,First33,Middle33,Last33,2005-01-31,5,1,PROMO33,1,1,3,2025-06-12 19:42:00.871239,2024-12-02 19:42:00.871239,2025-01-10 19:42:00.871241,530
34,4,True,user_34,,AMD,ru,3,True,True,False,False,,,132,3,First34,Middle34,Last34,2008-02-24,7,0,PROMO34,0,1,2,2025-06-12 19:42:00.871256,2023-07-11 19:42:00.871256,2023-12-13 19:42:00.871258,654
35,8,False,user_35,,AMD,ru,2,True,False,True,False,,,65,5,First35,Middle35,Last35,2001-08-08,9,0,PROMO35,1,0,2,2025-06-12 19:42:00.871276,2024-06-14 19:42:00.871276,2024-10-27 19:42:00.871278,763
36,5,False,user_36,,EUR,ru,3,False,False,True,False,,,27,5,First36,Middle36,Last36,2016-03-06,10,0,PROMO36,1,0,5,2025-06-12 19:42:00.871292,2025-02-10 19:42:00.871292,2023-01-06 19:42:00.871294,698
37,7,False,user_37,,EUR,en,2,True,True,False,False,,,234,1,First37,Middle37,Last37,2004-03-11,3,0,PROMO37,1,1,2,2025-06-12 19:42:00.871308,2024-07-27 19:42:00.871308,2023-09-02 19:42:00.871310,60
38,1,False,user_38,,EUR,en,2,True,False,True,True,,,222,5,First38,Middle38,Last38,2009-04-06,7,1,PROMO38,1,1,1,2025-06-12 19:42:00.871323,2025-05-05 19:42:00.871324,2023-12-14 19:42:00.871325,205
39,6,True,user_39,,EUR,hy,2,True,True,True,True,,,176,2,First39,Middle39,Last39,1995-10-14,2,1,PROMO39,1,0,1,2025-06-12 19:42:00.871339,2023-02-20 19:42:00.871339,2025-04-27 19:42:00.871341,306
40,5,False,user_40,,AMD,hy,5,False,False,True,False,,,250,2,First40,Middle40,Last40,1998-06-15,3,1,PROMO40,0,0,2,2025-06-12 19:42:00.871358,2023-05-30 19:42:00.871358,2025-01-29 19:42:00.871360,217
41,1,True,user_41,,USD,ru,1,False,False,True,True,,,55,5,First41,Middle41,Last41,1990-11-20,1,0,PROMO41,1,1,4,2025-06-12 19:42:00.871375,2025-02-06 19:42:00.871376,2023-11-30 19:42:00.871377,259
42,8,True,user_42,,USD,hy,1,False,False,True,False,,,70,3,First42,Middle42,Last42,1994-09-15,9,0,PROMO42,1,0,1,2025-06-12 19:42:00.871391,2024-01-20 19:42:00.871392,2024-11-21 19:42:00.871393,624
43,4,False,user_43,,AMD,en,3,False,False,True,True,,,254,1,First43,Middle43,Last43,2011-07-25,6,0,PROMO43,0,0,1,2025-06-12 19:42:00.871408,2022-11-27 19:42:00.871409,2025-02-19 19:42:00.871410,856
44,10,False,user_44,,USD,en,5,True,True,False,True,,,233,2,First44,Middle44,Last44,2001-11-06,8,0,PROMO44,0,0,1,2025-06-12 19:42:00.871425,2023-01-22 19:42:00.871425,2024-08-19 19:42:00.871427,369
45,6,False,user_45,,AMD,en,1,True,True,True,True,,,168,2,First45,Middle45,Last45,2009-08-20,10,1,PROMO45,0,1,3,2025-06-12 19:42:00.871441,2024-12-07 19:42:00.871442,2025-02-16 19:42:00.871444,411
46,7,False,user_46,,EUR,ru,4,False,True,True,True,,,30,1,First46,Middle46,Last46,1994-08-27,7,1,PROMO46,1,0,5,2025-06-12 19:42:00.871464,2024-05-20 19:42:00.871464,2023-04-07 19:42:00.871466,368
47,10,True,user_47,,AMD,hy,2,False,False,True,False,,,225,0,First47,Middle47,Last47,1992-11-03,5,1,PROMO47,0,0,3,2025-06-12 19:42:00.871483,2023-12-29 19:42:00.871483,2023-12-25 19:42:00.871485,705
48,10,True,user_48,,EUR,hy,2,False,False,False,True,,,27,0,First48,Middle48,Last48,1997-01-15,9,1,PROMO48,1,0,1,2025-06-12 19:42:00.871499,2023-05-05 19:42:00.871499,2024-01-26 19:42:00.871501,329
49,4,False,user_49,,EUR,en,5,True,False,False,True,,,40,3,First49,Middle49,Last49,2009-12-04,10,1,PROMO49,0,1,4,2025-06-12 19:42:00.871514,2024-07-24 19:42:00.871515,2025-02-11 19:42:00.871517,510
50,1,True,user_50,,EUR,ru,1,True,True,False,True,,,233,2,First50,Middle50,Last50,2006-04-20,1,0,PROMO50,1,1,5,2025-06-12 19:42:00.871531,2023-04-19 19:42:00.871531,2023-09-17 19:42:00.871533,615
51,8,False,user_51,,AMD,ru,1,True,True,True,False,,,181,5,First51,Middle51,Last51,2003-02-05,9,1,PROMO51,0,0,2,2025-06-12 19:42:00.871660,2024-01-25 19:42:00.871662,2025-01-20 19:42:00.871666,842
52,7,True,user_52,,EUR,hy,2,True,True,False,True,,,234,1,First52,Middle52,Last52,2005-02-27,2,1,PROMO52,0,0,4,2025-06-12 19:42:00.871690,2024-03-01 19:42:00.871690,2023-08-08 19:42:00.871693,604
53,9,True,user_53,,EUR,en,5,True,False,False,True,,,88,5,First53,Middle53,Last53,1995-10-05,2,1,PROMO53,1,1,4,2025-06-12 19:42:00.871716,2023-09-28 19:42:00.871717,2022-11-18 19:42:00.871720,710
54,4,False,user_54,,EUR,ru,3,False,True,True,False,,,153,5,First54,Middle54,Last54,2014-07-29,6,0,PROMO54,0,0,5,2025-06-12 19:42:00.871745,2023-06-12 19:42:00.871745,2024-08-19 19:42:00.871748,704
55,6,True,user_55,,AMD,hy,2,False,True,False,False,,,213,5,First55,Middle55,Last55,2013-12-13,5,1,PROMO55,0,0,1,2025-06-12 19:42:00.871773,2024-05-18 19:42:00.871774,2025-01-15 19:42:00.871777,55
56,1,True,user_56,,EUR,en,3,False,True,True,False,,,104,4,First56,Middle56,Last56,1991-06-14,6,1,PROMO56,0,0,5,2025-06-12 19:42:00.871809,2024-05-10 19:42:00.871810,2024-10-12 19:42:00.871813,524
57,5,True,user_57,,EUR,ru,4,False,True,True,False,,,103,4,First57,Middle57,Last57,2009-11-16,4,1,PROMO57,0,0,3,2025-06-12 19:42:00.871837,2024-03-10 19:42:00.871838,2024-12-13 19:42:00.871841,700
58,2,True,user_58,,USD,hy,5,True,False,True,False,,,142,4,First58,Middle58,Last58,2001-11-08,3,0,PROMO58,1,0,3,2025-06-12 19:42:00.871865,2024-02-21 19:42:00.871865,2023-06-17 19:42:00.871867,960
59,3,True,user_59,,USD,ru,5,True,False,False,False,,,37,5,First59,Middle59,Last59,2004-04-04,9,0,PROMO59,0,0,5,2025-06-12 19:42:00.871883,2024-12-31 19:42:00.871883,2024-04-13 19:42:00.871885,557
60,9,False,user_60,,USD,ru,2,True,False,False,False,,,150,1,First60,Middle60,Last60,2013-10-18,8,0,PROMO60,0,1,4,2025-06-12 19:42:00.871900,2024-10-09 19:42:00.871901,2022-11-29 19:42:00.871904,658
61,10,True,user_61,,USD,hy,3,False,True,False,False,,,144,0,First61,Middle61,Last61,2013-03-09,6,1,PROMO61,1,0,3,2025-06-12 19:42:00.871930,2022-12-06 19:42:00.871930,2023-08-15 19:42:00.871934,198
62,6,True,user_62,,USD,en,5,True,True,True,True,,,217,0,First62,Middle62,Last62,1999-03-23,9,1,PROMO62,0,0,1,2025-06-12 19:42:00.871971,2024-02-28 19:42:00.871971,2023-06-09 19:42:00.871974,340
63,1,True,user_63,,USD,en,2,False,True,True,False,,,208,3,First63,Middle63,Last63,2010-03-28,7,1,PROMO63,1,0,4,2025-06-12 19:42:00.871996,2023-07-24 19:42:00.871996,2025-02-11 19:42:00.871999,548
64,1,True,user_64,,AMD,hy,1,True,False,True,False,,,154,4,First64,Middle64,Last64,1993-11-18,5,1,PROMO64,1,1,1,2025-06-12 19:42:00.872022,2024-02-13 19:42:00.872023,2025-01-03 19:42:00.872025,547
65,4,True,user_65,,AMD,ru,5,False,True,False,False,,,5,4,First65,Middle65,Last65,2014-11-25,3,0,PROMO65,0,0,5,2025-06-12 19:42:00.872051,2023-10-11 19:42:00.872052,2024-05-05 19:42:00.872055,551
66,9,True,user_66,,EUR,en,3,True,False,True,True,,,94,1,First66,Middle66,Last66,2001-05-03,4,0,PROMO66,0,0,5,2025-06-12 19:42:00.872079,2024-02-26 19:42:00.872079,2023-08-22 19:42:00.872082,563
67,2,False,user_67,,AMD,en,3,True,True,False,False,,,182,1,First67,Middle67,Last67,2000-07-09,2,1,PROMO67,0,0,3,2025-06-12 19:42:00.872111,2024-02-01 19:42:00.872111,2024-03-08 19:42:00.872113,337
68,10,False,user_68,,AMD,hy,2,False,False,False,True,,,2,2,First68,Middle68,Last68,2001-01-16,4,1,PROMO68,1,1,2,2025-06-12 19:42:00.872132,2023-07-18 19:42:00.872132,2023-05-24 19:42:00.872134,340
69,8,False,user_69,,EUR,ru,3,False,True,True,True,,,143,1,First69,Middle69,Last69,2014-02-28,4,1,PROMO69,0,0,1,2025-06-12 19:42:00.872148,2023-01-25 19:42:00.872149,2024-01-10 19:42:00.872151,647
70,1,False,user_70,,AMD,en,1,False,False,True,False,,,200,1,First70,Middle70,Last70,2016-06-13,5,0,PROMO70,1,0,4,2025-06-12 19:42:00.872164,2024-06-05 19:42:00.872165,2024-01-15 19:42:00.872166,11
71,4,True,user_71,,AMD,en,4,True,True,True,False,,,183,0,First71,Middle71,Last71,1999-10-26,8,0,PROMO71,0,1,3,2025-06-12 19:42:00.872180,2024-10-16 19:42:00.872180,2025-04-30 19:42:00.872182,685
72,4,False,user_72,,EUR,ru,4,True,True,False,True,,,140,5,First72,Middle72,Last72,2001-10-24,10,0,PROMO72,1,1,3,2025-06-12 19:42:00.872199,2023-10-20 19:42:00.872199,2023-08-13 19:42:00.872201,920
73,2,False,user_73,,EUR,en,5,False,False,False,False,,,246,4,First73,Middle73,Last73,1990-04-19,9,0,PROMO73,1,0,2,2025-06-12 19:42:00.872216,2025-03-26 19:42:00.872216,2024-01-03 19:42:00.872218,659
74,5,True,user_74,,USD,en,2,False,True,True,False,,,169,5,First74,Middle74,Last74,1995-01-31,8,1,PROMO74,1,0,5,2025-06-12 19:42:00.872231,2024-12-29 19:42:00.872232,2023-08-20 19:42:00.872233,854
75,7,True,user_75,,USD,en,2,True,True,True,True,,,28,1,First75,Middle75,Last75,2001-08-02,3,1,PROMO75,0,1,1,2025-06-12 19:42:00.872248,2024-11-03 19:42:00.872248,2024-03-10 19:42:00.872250,622
76,8,False,user_76,,USD,en,4,True,True,False,True,,,175,3,First76,Middle76,Last76,2016-10-04,10,0,PROMO76,0,1,4,2025-06-12 19:42:00.872264,2025-01-28 19:42:00.872264,2025-02-21 19:42:00.872266,17
77,4,False,user_77,,USD,hy,1,True,False,True,True,,,47,3,First77,Middle77,Last77,1995-11-06,10,0,PROMO77,1,1,3,2025-06-12 19:42:00.872280,2022-12-30 19:42:00.872280,2025-04-29 19:42:00.872282,715
78,9,False,user_78,,USD,ru,4,False,True,False,True,,,130,3,First78,Middle78,Last78,2000-06-06,2,1,PROMO78,1,1,2,2025-06-12 19:42:00.872300,2025-06-07 19:42:00.872301,2023-06-17 19:42:00.872302,762
79,1,True,user_79,,AMD,en,4,True,False,False,False,,,54,1,First79,Middle79,Last79,2009-02-10,10,1,PROMO79,1,1,5,2025-06-12 19:42:00.872319,2024-06-03 19:42:00.872319,2023-09-25 19:42:00.872321,283
80,7,True,user_80,,EUR,hy,5,False,True,False,False,,,129,2,First80,Middle80,Last80,2015-11-30,6,1,PROMO80,0,0,2,2025-06-12 19:42:00.872335,2024-03-12 19:42:00.872336,2023-04-03 19:42:00.872338,717
81,3,True,user_81,,USD,hy,4,False,True,True,False,,,2,0,First81,Middle81,Last81,1996-07-09,8,1,PROMO81,0,0,3,2025-06-12 19:42:00.872352,2024-10-28 19:42:00.872352,2024-05-29 19:42:00.872354,82
82,10,True,user_82,,AMD,ru,4,False,True,True,False,,,224,0,First82,Middle82,Last82,1999-01-18,9,1,PROMO82,0,0,5,2025-06-12 19:42:00.872372,2024-01-07 19:42:00.872372,2024-01-01 19:42:00.872374,716
83,4,True,user_83,,AMD,en,3,True,True,True,True,,,141,3,First83,Middle83,Last83,2005-11-03,7,1,PROMO83,0,0,1,2025-06-12 19:42:00.872388,2022-11-14 19:42:00.872389,2025-03-12 19:42:00.872391,563
84,5,False,user_84,,EUR,ru,2,True,False,False,True,,,133,1,First84,Middle84,Last84,2008-04-06,9,0,PROMO84,0,1,3,2025-06-12 19:42:00.872404,2022-10-17 19:42:00.872405,2025-02-13 19:42:00.872406,823
85,9,False,user_85,,AMD,hy,3,False,False,False,True,,,173,3,First85,Middle85,Last85,2010-09-01,10,0,PROMO85,1,0,3,2025-06-12 19:42:00.872420,2025-04-04 19:42:00.872420,2024-05-17 19:42:00.872422,649
86,4,True,user_86,,EUR,ru,3,True,False,True,False,,,47,3,First86,Middle86,Last86,2005-05-05,2,0,PROMO86,1,1,3,2025-06-12 19:42:00.872441,2024-11-01 19:42:00.872441,2022-12-10 19:42:00.872444,588
87,5,True,user_87,,AMD,hy,2,False,True,True,True,,,135,1,First87,Middle87,Last87,2000-04-13,4,0,PROMO87,1,0,1,2025-06-12 19:42:00.872471,2025-02-10 19:42:00.872471,2022-11-13 19:42:00.872474,81
88,8,True,user_88,,AMD,en,4,False,False,False,False,,,251,1,First88,Middle88,Last88,2012-12-05,5,1,PROMO88,0,0,1,2025-06-12 19:42:00.872494,2023-12-22 19:42:00.872495,2023-03-17 19:42:00.872500,434
89,8,True,user_89,,AMD,ru,4,True,False,True,False,,,161,5,First89,Middle89,Last89,1990-05-18,1,0,PROMO89,1,0,3,2025-06-12 19:42:00.872513,2024-06-07 19:42:00.872514,2023-09-24 19:42:00.872516,883
90,5,True,user_90,,AMD,ru,2,False,False,False,False,,,94,3,First90,Middle90,Last90,2009-01-06,4,1,PROMO90,1,1,4,2025-06-12 19:42:00.872533,2024-08-30 19:42:00.872534,2024-03-08 19:42:00.872535,185
91,10,True,user_91,,AMD,hy,2,True,False,True,False,,,195,1,First91,Middle91,Last91,1996-07-17,3,1,PROMO91,0,0,4,2025-06-12 19:42:00.872549,2024-01-18 19:42:00.872549,2025-01-26 19:42:00.872551,915
92,9,False,user_92,,EUR,ru,3,True,False,True,True,,,30,1,First92,Middle92,Last92,2001-05-29,8,0,PROMO92,1,1,3,2025-06-12 19:42:00.872565,2024-06-08 19:42:00.872566,2024-06-09 19:42:00.872568,574
93,9,False,user_93,,EUR,en,4,True,False,True,True,,,145,2,First93,Middle93,Last93,2004-08-01,9,1,PROMO93,1,0,4,2025-06-12 19:42:00.872585,2023-09-23 19:42:00.872585,2024-08-23 19:42:00.872587,475
94,3,True,user_94,,AMD,ru,4,False,True,True,True,,,175,1,First94,Middle94,Last94,2004-01-24,6,1,PROMO94,1,1,3,2025-06-12 19:42:00.872603,2022-12-17 19:42:00.872603,2024-03-14 19:42:00.872605,800
95,6,False,user_95,,EUR,en,2,True,True,True,False,,,40,1,First95,Middle95,Last95,1997-06-27,7,0,PROMO95,0,0,4,2025-06-12 19:42:00.872618,2023-11-29 19:42:00.872619,2025-04-18 19:42:00.872621,27
96,7,True,user_96,,USD,ru,5,True,True,False,False,,,117,1,First96,Middle96,Last96,2002-09-30,8,0,PROMO96,0,0,1,2025-06-12 19:42:00.872634,2025-05-08 19:42:00.872634,2023-08-03 19:42:00.872636,366
97,6,False,user_97,,EUR,hy,3,False,True,True,False,,,222,4,First97,Middle97,Last97,2013-12-11,5,1,PROMO97,1,0,1,2025-06-12 19:42:00.872650,2024-03-17 19:42:00.872650,2024-08-01 19:42:00.872652,375
98,7,False,user_98,,USD,ru,1,True,True,False,False,,,240,4,First98,Middle98,Last98,1990-05-17,8,1,PROMO98,1,0,4,2025-06-12 19:42:00.872665,2023-03-18 19:42:00.872666,2024-08-17 19:42:00.872667,612
99,4,True,user_99,,AMD,ru,2,False,False,False,True,,,83,5,First99,Middle99,Last99,2007-06-26,7,0,PROMO99,1,0,4,2025-06-12 19:42:00.872686,2023-09-11 19:42:00.872687,2024-10-10 19:42:00.872688,530
100,10,False,user_100,,EUR,hy,5,False,False,True,True,,,93,1,First100,Middle100,Last100,2002-12-28,2,1,PROMO0,1,1,5,2025-06-12 19:42:00.872705,2024-01-26 19:42:00.872705,2024-12-02 19:42:00.872707,329
101,1,True,user_101,,USD,hy,1,True,True,False,False,,,64,5,First101,Middle101,Last101,2009-09-01,1,0,PROMO1,0,0,1,2025-06-12 19:42:00.872720,2024-01-24 19:42:00.872721,2024-11-02 19:42:00.872723,351
102,7,False,user_102,,EUR,ru,4,True,False,True,True,,,28,2,First102,Middle102,Last102,2007-08-09,2,1,PROMO2,0,0,3,2025-06-12 19:42:00.872736,2023-02-27 19:42:00.872737,2024-05-18 19:42:00.872738,849
103,1,True,user_103,,AMD,en,4,False,True,True,True,,,235,5,First103,Middle103,Last103,1994-03-20,9,0,PROMO3,1,1,3,2025-06-12 19:42:00.872752,2022-10-28 19:42:00.872752,2024-07-17 19:42:00.872754,163
104,1,True,user_104,,EUR,ru,3,True,False,True,True,,,57,1,First104,Middle104,Last104,2009-06-23,6,0,PROMO4,0,1,5,2025-06-12 19:42:00.872771,2025-02-10 19:42:00.872771,2024-05-03 19:42:00.872773,809
105,4,True,user_105,,USD,hy,4,True,False,True,True,,,80,3,First105,Middle105,Last105,1994-02-06,10,1,PROMO5,0,0,3,2025-06-12 19:42:00.872788,2023-08-22 19:42:00.872788,2025-01-06 19:42:00.872790,719
106,9,True,user_106,,USD,ru,2,False,False,False,True,,,10,5,First106,Middle106,Last106,2006-12-12,6,0,PROMO6,1,0,4,2025-06-12 19:42:00.872803,2023-06-20 19:42:00.872803,2024-03-21 19:42:00.872805,573
107,5,False,user_107,,USD,hy,2,False,False,False,False,,,82,0,First107,Middle107,Last107,2013-10-29,3,1,PROMO7,1,1,5,2025-06-12 19:42:00.872820,2024-06-02 19:42:00.872820,2024-03-05 19:42:00.872822,1
108,9,False,user_108,,AMD,en,1,False,True,False,True,,,198,1,First108,Middle108,Last108,2013-07-05,8,0,PROMO8,1,1,4,2025-06-12 19:42:00.872836,2023-08-26 19:42:00.872836,2024-07-18 19:42:00.872838,114
109,2,True,user_109,,USD,en,2,True,True,True,False,,,98,0,First109,Middle109,Last109,1991-06-06,10,1,PROMO9,1,1,1,2025-06-12 19:42:00.872851,2024-06-02 19:42:00.872852,2024-10-29 19:42:00.872853,621
110,2,True,user_110,,USD,hy,4,True,False,True,False,,,212,2,First110,Middle110,Last110,1992-08-13,10,1,PROMO10,0,0,3,2025-06-12 19:42:00.872874,2025-03-25 19:42:00.872874,2022-10-19 19:42:00.872876,222
111,9,True,user_111,,USD,hy,2,False,True,True,True,,,91,4,First111,Middle111,Last111,2015-01-14,7,0,PROMO11,1,1,4,2025-06-12 19:42:00.872892,2022-12-21 19:42:00.872893,2025-02-26 19:42:00.872895,171
112,3,False,user_112,,AMD,ru,2,False,False,False,False,,,190,3,First112,Middle112,Last112,2009-04-25,6,0,PROMO12,0,1,5,2025-06-12 19:42:00.872909,2022-11-07 19:42:00.872910,2023-05-12 19:42:00.872911,261
113,6,False,user_113,,EUR,ru,1,True,False,True,True,,,154,0,First113,Middle113,Last113,2003-06-22,4,0,PROMO13,1,0,3,2025-06-12 19:42:00.872926,2022-11-14 19:42:00.872926,2023-11-24 19:42:00.872929,524
114,9,True,user_114,,USD,en,4,False,True,True,False,,,187,4,First114,Middle114,Last114,2001-03-17,4,1,PROMO14,1,0,5,2025-06-12 19:42:00.872950,2024-04-29 19:42:00.872951,2023-11-08 19:42:00.872954,940
115,4,True,user_115,,AMD,ru,4,True,False,True,False,,,19,5,First115,Middle115,Last115,2015-11-07,7,0,PROMO15,0,1,3,2025-06-12 19:42:00.872984,2022-12-25 19:42:00.872985,2023-02-27 19:42:00.872988,445
